Optimisation Analysis 
============================ 

Objective: 		MaxENB
Objective: 		MinRisk
SolutionSpace: 			6912
Evaluated: 			6912
Shortlisted: 			16
Runtime(s): 			74

ID	Location Finding	File Sharing	Report Syncing	Chat Protocol	Map Access	Hardware Platform	Connectivity	Database	Architectural Pattern	Data Exchange Format	ENB	Risk	Optimal
56	GPS	In house	Implicit	In house	Cache on server	Droid (Motorola)	3G on Nexus I	MySQL	Peer-to-peer	Compressed XML	13.657715108655841	1.0	No
57	radio triangulation	OpenIntent	Explicit	In house	On Demand (Google)	Nexus I (HTC)	Wifi	sqLite	Client-Server	Unformatted data	13.231428545889651	1.0	No
58	radio triangulation	In house	Implicit	XMPP (Open Fire)	Cache on server	Nexus I (HTC)	3G on Nexus I	sqLite	Push-based	XML	14.185221015393376	1.0	No
59	radio triangulation	OpenIntent	Implicit	In house	On Demand (Google)	Droid (Motorola)	3G on Nexus I	sqLite	Peer-to-peer	Compressed XML	13.505193184213827	1.0	No
60	radio triangulation	In house	Explicit	In house	Cache on server	Droid (Motorola)	3G on Droid	MySQL	Client-Server	Unformatted data	14.025274192780614	1.0	No
61	GPS	In house	Implicit	In house	Cache on server	Droid (Motorola)	3G on Droid	MySQL	Push-based	Unformatted data	13.87888457880276	1.0	No
62	radio triangulation	OpenIntent	Explicit	In house	Cache on server	Nexus I (HTC)	3G on Nexus I	MySQL	Client-Server	XML	14.36987551393125	1.0	No
63	GPS	OpenIntent	Explicit	XMPP (Open Fire)	Preloaded (ESRI)	Droid (Motorola)	3G on Droid	MySQL	Client-Server	Compressed XML	15.042107490044451	1.0	No
64	GPS	In house	Implicit	XMPP (Open Fire)	Preloaded (ESRI)	Nexus I (HTC)	3G on Nexus I	MySQL	Peer-to-peer	Unformatted data	13.986043767624125	0.9998	No
65	GPS	In house	Explicit	In house	Cache on server	Nexus I (HTC)	Wifi	MySQL	Client-Server	Unformatted data	13.383950470331698	1.0	No
66	GPS	OpenIntent	Implicit	In house	Cache on server	Nexus I (HTC)	Bluetooth	sqLite	Push-based	Unformatted data	14.111056184958146	1.0	No
67	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	Bluetooth	sqLite	Peer-to-peer	Unformatted data	12.424822706448344	1.0	No
68	radio triangulation	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Nexus I	MySQL	Client-Server	Compressed XML	13.563795826754923	1.0	No
69	GPS	OpenIntent	Implicit	XMPP (Open Fire)	Cache on server	Nexus I (HTC)	3G on Nexus I	sqLite	Peer-to-peer	XML	14.137851754424776	1.0	No
70	GPS	In house	Implicit	In house	Preloaded (ESRI)	Droid (Motorola)	3G on Droid	MySQL	Peer-to-peer	Compressed XML	14.26476709705445	1.0	No
71	GPS	In house	Implicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	MySQL	Push-based	XML	13.063952717424169	1.0	No
72	GPS	OpenIntent	Explicit	In house	Cache on server	Nexus I (HTC)	Wifi	sqLite	Peer-to-peer	Compressed XML	13.391164854645004	1.0	No
73	GPS	In house	Implicit	In house	On Demand (Google)	Droid (Motorola)	Wifi	sqLite	Peer-to-peer	XML	12.51041596641192	1.0	No
74	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Nexus I	MySQL	Push-based	Unformatted data	12.67202953754196	1.0	No
75	GPS	In house	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	Wifi	MySQL	Client-Server	XML	12.569018608953042	1.0	No
76	GPS	In house	Implicit	XMPP (Open Fire)	Preloaded (ESRI)	Nexus I (HTC)	Wifi	sqLite	Client-Server	Unformatted data	14.736547705582474	0.9951	No
77	radio triangulation	OpenIntent	Explicit	In house	Preloaded (ESRI)	Nexus I (HTC)	3G on Droid	MySQL	Client-Server	XML	14.97692750232984	0.5312	No
