Optimisation Analysis 
============================ 

Objective: 		MaxExpectedUtility
Objective: 		MinCost
SolutionSpace: 			1024
Evaluated: 			1024
Shortlisted: 			31
Runtime(s): 			4

ID 	Order Reassignment	Forced Order Completion	Order Persistence Strategy	Order Segmentation	Hung Order Recovery	Failed Order Notification	Order Tracking	Available User Information	Order Chunking	Order Bundling	ExpectedUtility	Cost	Optimal
34	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Current: order level	Current: no link to user info	Order Chunking	Order Bundling	-92.62297255511943	0.0	No
35	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Current: order level	Link to user information	Current: no oder chunking	No Order Bundling	-83.03250708965402	209.49369149030375	No
36	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Current: order level	Link to user information	Current: no oder chunking	Order Bundling	-93.56741699956424	209.49369149030375	No
37	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Current: order level	Link to user information	Order Chunking	No Order Bundling	-81.53250708965405	209.49369149030375	No
38	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Current: order level	Link to user information	Order Chunking	Order Bundling	-92.06741699956429	209.49369149030375	No
39	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Granule-level order tracking	Current: no link to user info	Current: no oder chunking	No Order Bundling	-81.05806264520979	1179.9591248165987	No
40	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Granule-level order tracking	Current: no link to user info	Current: no oder chunking	Order Bundling	-91.59297255511956	1179.9591248165987	No
41	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Granule-level order tracking	Current: no link to user info	Order Chunking	No Order Bundling	-79.55806264520982	1179.9591248165987	No
42	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Granule-level order tracking	Current: no link to user info	Order Chunking	Order Bundling	-90.09297255511953	1179.9591248165987	No
43	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Granule-level order tracking	Link to user information	Current: no oder chunking	No Order Bundling	-81.00250708965419	1389.4528163069033	No
44	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Granule-level order tracking	Link to user information	Current: no oder chunking	Order Bundling	-91.53741699956366	1389.4528163069033	No
45	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Granule-level order tracking	Link to user information	Order Chunking	No Order Bundling	-79.50250708965412	1389.4528163069033	No
46	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Granule-level order tracking	Link to user information	Order Chunking	Order Bundling	-90.03741699956372	1389.4528163069033	No
47	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Current: order level	Current: no link to user info	Current: no oder chunking	No Order Bundling	-81.35584042298785	299.9034009500953	No
48	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Current: order level	Current: no link to user info	Current: no oder chunking	Order Bundling	-91.89075033289751	299.9034009500953	No
49	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-79.85584042298791	299.9034009500953	No
50	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	Order Bundling	-90.39075033289745	299.9034009500953	No
51	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Current: order level	Link to user information	Current: no oder chunking	No Order Bundling	-81.24472931187616	509.397092440401	No
52	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Current: order level	Link to user information	Current: no oder chunking	Order Bundling	-91.77963922178644	509.397092440401	No
53	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Current: order level	Link to user information	Order Chunking	No Order Bundling	-79.74472931187618	509.397092440401	No
54	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Current: order level	Link to user information	Order Chunking	Order Bundling	-90.27963922178638	509.397092440401	No
55	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Granule-level order tracking	Current: no link to user info	Current: no oder chunking	No Order Bundling	-80.83184042298768	1479.8625257666909	No
56	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Granule-level order tracking	Current: no link to user info	Current: no oder chunking	Order Bundling	-91.36675033289765	1479.8625257666909	No
57	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Granule-level order tracking	Current: no link to user info	Order Chunking	No Order Bundling	-79.33184042298765	1479.8625257666909	No
58	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Granule-level order tracking	Current: no link to user info	Order Chunking	Order Bundling	-89.86675033289758	1479.8625257666909	No
59	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Granule-level order tracking	Link to user information	Current: no oder chunking	No Order Bundling	-80.82072931187632	1689.356217256998	No
60	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Granule-level order tracking	Link to user information	Current: no oder chunking	Order Bundling	-91.35563922178638	1689.356217256998	No
61	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Granule-level order tracking	Link to user information	Order Chunking	No Order Bundling	-79.32072931187633	1689.356217256998	No
62	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Granule-level order tracking	Link to user information	Order Chunking	Order Bundling	-89.8556392217863	1689.356217256998	No
63	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	Current: no notification	Current: order level	Current: no link to user info	Current: no oder chunking	No Order Bundling	-79.5880626452095	199.9449598218478	No
64	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	Current: no notification	Current: order level	Current: no link to user info	Current: no oder chunking	Order Bundling	-90.12297255511946	199.9449598218478	No
65	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	Current: no notification	Current: order level	Current: no link to user info	Order Chunking	Order Bundling	-88.62297255511947	199.9449598218478	No
66	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	Current: no notification	Current: order level	Link to user information	Current: no oder chunking	No Order Bundling	-79.03250708965399	409.43865131214994	No
67	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	Current: no notification	Current: order level	Link to user information	Current: no oder chunking	Order Bundling	-89.56741699956429	409.43865131214994	No
68	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	Current: no notification	Current: order level	Link to user information	Order Chunking	No Order Bundling	-77.532507089654	409.43865131214994	No
69	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	Current: no notification	Current: order level	Link to user information	Order Chunking	Order Bundling	-88.06741699956424	409.43865131214994	No
70	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	Current: no notification	Granule-level order tracking	Current: no link to user info	Current: no oder chunking	No Order Bundling	-77.05806264520982	1379.9040846384494	No
71	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	Current: no notification	Granule-level order tracking	Current: no link to user info	Current: no oder chunking	Order Bundling	-87.59297255511963	1379.9040846384494	No
72	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	Current: no notification	Granule-level order tracking	Current: no link to user info	Order Chunking	No Order Bundling	-75.55806264520979	1379.9040846384494	No
73	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	Current: no notification	Granule-level order tracking	Current: no link to user info	Order Chunking	Order Bundling	-86.0929725551196	1379.9040846384494	No
74	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	Current: no notification	Granule-level order tracking	Link to user information	Current: no oder chunking	No Order Bundling	-77.00250708965406	1589.397776128749	No
75	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	Current: no notification	Granule-level order tracking	Link to user information	Current: no oder chunking	Order Bundling	-87.53741699956367	1589.397776128749	No
76	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	Current: no notification	Granule-level order tracking	Link to user information	Order Chunking	No Order Bundling	-75.50250708965406	1589.397776128749	No
77	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	Current: no notification	Granule-level order tracking	Link to user information	Order Chunking	Order Bundling	-86.03741699956386	1589.397776128749	No
78	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	User notified of failed order	Current: order level	Current: no link to user info	Current: no oder chunking	No Order Bundling	-77.35584042298797	499.84836077194444	No
79	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	User notified of failed order	Current: order level	Current: no link to user info	Current: no oder chunking	Order Bundling	-87.89075033289755	499.84836077194444	No
80	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-75.8558404229879	499.84836077194444	No
81	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	Order Bundling	-86.39075033289755	499.84836077194444	No
82	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	User notified of failed order	Current: order level	Link to user information	Current: no oder chunking	No Order Bundling	-77.24472931187621	709.3420522622489	No
83	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	User notified of failed order	Current: order level	Link to user information	Current: no oder chunking	Order Bundling	-87.77963922178634	709.3420522622489	No
84	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	User notified of failed order	Current: order level	Link to user information	Order Chunking	No Order Bundling	-75.74472931187621	709.3420522622489	No
85	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	User notified of failed order	Current: order level	Link to user information	Order Chunking	Order Bundling	-86.27963922178627	709.3420522622489	No
86	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	User notified of failed order	Granule-level order tracking	Current: no link to user info	Current: no oder chunking	No Order Bundling	-76.83184042298765	1679.807485588538	No
87	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	User notified of failed order	Granule-level order tracking	Current: no link to user info	Current: no oder chunking	Order Bundling	-87.36675033289767	1679.807485588538	No
