Optimisation Analysis, ,,,,,,,,,,,,
Objective ,MaxENB,,,,,,,,,,,,
Objective ,MinRisk,,,,,,,,,,,,
SolutionSpace ,6912,,,,,,,,,,,,
Minimal SolutionSet ,6912,,,,,,,,,,,,
Shortlisted ,15,,,,,,,,,,,,
Nbr. Variables ,117,,,,,,,,,,,,
Nbr. Parameters ,137,,,,,,,,,,,,
Nbr. Decisions ,10,,,,,,,,,,,,
Runtime(s) ,111,,,,,,,,,,,,
,,,,,,,,,,,,,
ID,Location Finding,File Sharing,Report Syncing,Chat Protocol,Map Access,Hardware Platform,Connectivity,Database,Architectural Pattern,Data Exchange Format,ENB,Risk,Optimal
46,radio triangulation,In house,Implicit,In house,On Demand (Google),Nexus I (HTC),3G on Droid,MySQL,Peer-to-peer,XML,12.87736517,1,No
47,radio triangulation,OpenIntent,Implicit,In house,On Demand (Google),Droid (Motorola),3G on Droid,sqLite,Push-based,Unformatted data,13.73162024,1,No
48,GPS,OpenIntent,Implicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,MySQL,Push-based,Compressed XML,13.42001086,1,No
49,radio triangulation,In house,Implicit,In house,Cache on server,Nexus I (HTC),3G on Droid,MySQL,Client-Server,Compressed XML,14.78030322,1,No
50,radio triangulation,In house,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,MySQL,Client-Server,XML,13.21823927,1,No
51,GPS,OpenIntent,Implicit,In house,Preloaded (ESRI),Nexus I (HTC),3G on Droid,MySQL,Push-based,XML,14.82928213,0.9995,No
52,GPS,OpenIntent,Implicit,In house,Preloaded (ESRI),Droid (Motorola),Bluetooth,sqLite,Client-Server,Unformatted data,15.20269061,1,No
53,radio triangulation,In house,Explicit,In house,Cache on server,Droid (Motorola),3G on Nexus I,MySQL,Client-Server,XML,13.93531452,1,No
54,radio triangulation,In house,Explicit,In house,Preloaded (ESRI),Droid (Motorola),3G on Nexus I,MySQL,Push-based,XML,13.90991133,0.8322,No
55,GPS,In house,Implicit,In house,Cache on server,Droid (Motorola),3G on Nexus I,MySQL,Peer-to-peer,Compressed XML,13.65437372,1,No
56,radio triangulation,OpenIntent,Explicit,In house,On Demand (Google),Nexus I (HTC),Wifi,sqLite,Client-Server,Unformatted data,13.23518555,1,No
57,radio triangulation,In house,Implicit,XMPP (Open Fire),Cache on server,Nexus I (HTC),3G on Nexus I,sqLite,Push-based,XML,14.19539381,1,No
58,radio triangulation,OpenIntent,Implicit,In house,On Demand (Google),Droid (Motorola),3G on Nexus I,sqLite,Peer-to-peer,Compressed XML,13.50535136,1,No
59,radio triangulation,In house,Explicit,In house,Cache on server,Droid (Motorola),3G on Droid,MySQL,Client-Server,Unformatted data,14.03233154,1,No
60,GPS,In house,Implicit,In house,Cache on server,Droid (Motorola),3G on Droid,MySQL,Push-based,Unformatted data,13.88064261,1,No
61,radio triangulation,OpenIntent,Explicit,In house,Cache on server,Nexus I (HTC),3G on Nexus I,MySQL,Client-Server,XML,14.37831187,1,No
62,GPS,OpenIntent,Explicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),3G on Droid,MySQL,Client-Server,Compressed XML,15.04090436,1,No
63,GPS,In house,Implicit,XMPP (Open Fire),Preloaded (ESRI),Nexus I (HTC),3G on Nexus I,MySQL,Peer-to-peer,Unformatted data,13.98306161,1,No
64,GPS,In house,Explicit,In house,Cache on server,Nexus I (HTC),Wifi,MySQL,Client-Server,Unformatted data,13.38420791,1,No
65,GPS,OpenIntent,Implicit,In house,Cache on server,Nexus I (HTC),Bluetooth,sqLite,Push-based,Unformatted data,14.11158465,1,No
66,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,sqLite,Peer-to-peer,Unformatted data,12.42026883,1,No
67,radio triangulation,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,MySQL,Client-Server,Compressed XML,13.57169979,1,No
68,GPS,OpenIntent,Implicit,XMPP (Open Fire),Cache on server,Nexus I (HTC),3G on Nexus I,sqLite,Peer-to-peer,XML,14.14052403,1,No
69,GPS,In house,Implicit,In house,Preloaded (ESRI),Droid (Motorola),3G on Droid,MySQL,Peer-to-peer,Compressed XML,14.25703291,1,No
70,GPS,In house,Implicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,MySQL,Push-based,XML,13.06655034,1,No
71,GPS,OpenIntent,Explicit,In house,Cache on server,Nexus I (HTC),Wifi,sqLite,Peer-to-peer,Compressed XML,13.38701528,1,No
72,GPS,In house,Implicit,In house,On Demand (Google),Droid (Motorola),Wifi,sqLite,Peer-to-peer,XML,12.50376721,1,No
73,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,MySQL,Push-based,Unformatted data,12.67203917,1,No
74,GPS,In house,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,MySQL,Client-Server,XML,12.57011565,1,No
75,GPS,In house,Implicit,XMPP (Open Fire),Preloaded (ESRI),Nexus I (HTC),Wifi,sqLite,Client-Server,Unformatted data,14.73539316,0.9963,No
76,radio triangulation,OpenIntent,Explicit,In house,Preloaded (ESRI),Nexus I (HTC),3G on Droid,MySQL,Client-Server,XML,14.98097106,0.5281,No
77,radio triangulation,In house,Implicit,XMPP (Open Fire),Cache on server,Nexus I (HTC),3G on Droid,sqLite,Peer-to-peer,XML,14.15567877,1,No
78,GPS,OpenIntent,Explicit,XMPP (Open Fire),Cache on server,Nexus I (HTC),3G on Droid,MySQL,Push-based,Compressed XML,13.94979841,1,No
79,radio triangulation,OpenIntent,Explicit,XMPP (Open Fire),Cache on server,Nexus I (HTC),3G on Nexus I,sqLite,Peer-to-peer,Unformatted data,13.7611676,1,No
80,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),Wifi,MySQL,Push-based,XML,15.83677279,0.9625,No
81,radio triangulation,In house,Explicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),3G on Droid,sqLite,Peer-to-peer,Unformatted data,13.92082944,1,No
82,GPS,OpenIntent,Implicit,XMPP (Open Fire),Preloaded (ESRI),Nexus I (HTC),3G on Droid,sqLite,Peer-to-peer,XML,14.74318322,1,No
83,GPS,In house,Implicit,XMPP (Open Fire),Cache on server,Droid (Motorola),3G on Droid,sqLite,Peer-to-peer,Unformatted data,13.7945437,1,No
84,radio triangulation,In house,Explicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),3G on Nexus I,sqLite,Peer-to-peer,XML,13.82381242,1,No
85,radio triangulation,In house,Implicit,In house,Preloaded (ESRI),Droid (Motorola),Bluetooth,sqLite,Client-Server,XML,15.12082833,0.9906,No
86,radio triangulation,OpenIntent,Implicit,In house,Cache on server,Droid (Motorola),3G on Droid,sqLite,Client-Server,Compressed XML,15.49782625,1,No
87,radio triangulation,OpenIntent,Implicit,In house,On Demand (Google),Droid (Motorola),3G on Droid,sqLite,Peer-to-peer,XML,13.59488819,1,No
88,GPS,In house,Implicit,In house,Preloaded (ESRI),Nexus I (HTC),Bluetooth,MySQL,Client-Server,Unformatted data,14.48516759,0.9985,No
89,radio triangulation,OpenIntent,Explicit,In house,Preloaded (ESRI),Nexus I (HTC),Bluetooth,sqLite,Peer-to-peer,XML,14.10113834,1,No
90,radio triangulation,OpenIntent,Explicit,In house,Preloaded (ESRI),Nexus I (HTC),3G on Nexus I,MySQL,Client-Server,Compressed XML,14.89143422,0.5947,No
91,radio triangulation,OpenIntent,Explicit,In house,Preloaded (ESRI),Nexus I (HTC),Wifi,sqLite,Client-Server,Compressed XML,14.97598836,0.9763,No
92,GPS,In house,Explicit,In house,Cache on server,Droid (Motorola),Wifi,sqLite,Push-based,XML,13.0732698,1,No
93,GPS,In house,Implicit,In house,Cache on server,Droid (Motorola),3G on Droid,MySQL,Peer-to-peer,XML,13.74391055,1,No
94,GPS,OpenIntent,Implicit,In house,On Demand (Google),Nexus I (HTC),3G on Droid,MySQL,Peer-to-peer,Unformatted data,12.95922744,1,No
95,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,sqLite,Client-Server,XML,13.28763867,1,No
96,GPS,OpenIntent,Explicit,XMPP (Open Fire),Cache on server,Nexus I (HTC),Bluetooth,sqLite,Push-based,Compressed XML,13.7377431,1,No
97,radio triangulation,In house,Implicit,In house,Cache on server,Nexus I (HTC),3G on Nexus I,MySQL,Push-based,Compressed XML,14.15224085,1,No
98,radio triangulation,In house,Implicit,In house,Cache on server,Nexus I (HTC),Bluetooth,sqLite,Peer-to-peer,Compressed XML,13.90047051,1,No
99,GPS,In house,Explicit,In house,Cache on server,Droid (Motorola),Wifi,sqLite,Peer-to-peer,Compressed XML,12.94401792,1,No
100,radio triangulation,In house,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,MySQL,Peer-to-peer,Compressed XML,12.46092503,1,No
101,radio triangulation,In house,Implicit,XMPP (Open Fire),Cache on server,Droid (Motorola),3G on Nexus I,sqLite,Client-Server,Unformatted data,14.7808576,1,No
102,GPS,In house,Implicit,In house,Cache on server,Droid (Motorola),3G on Droid,MySQL,Client-Server,XML,14.41168796,1,No
103,GPS,In house,Implicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,sqLite,Push-based,XML,12.85449504,1,No
104,radio triangulation,In house,Implicit,In house,Preloaded (ESRI),Nexus I (HTC),Bluetooth,sqLite,Push-based,Compressed XML,14.54284473,0.9956,No
105,radio triangulation,In house,Implicit,XMPP (Open Fire),Preloaded (ESRI),Nexus I (HTC),3G on Droid,sqLite,Push-based,XML,14.798053,0.6994,No
106,GPS,OpenIntent,Implicit,In house,Cache on server,Nexus I (HTC),3G on Droid,MySQL,Push-based,Unformatted data,14.32363996,1,No
107,GPS,OpenIntent,Implicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,MySQL,Push-based,XML,13.5095477,1,No
108,radio triangulation,In house,Explicit,In house,Preloaded (ESRI),Droid (Motorola),3G on Droid,MySQL,Client-Server,XML,14.53797371,0.6981,No
109,GPS,OpenIntent,Implicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),3G on Nexus I,sqLite,Client-Server,Unformatted data,15.36836204,1,No
110,radio triangulation,OpenIntent,Explicit,In house,Preloaded (ESRI),Nexus I (HTC),3G on Droid,MySQL,Push-based,Unformatted data,14.4499257,0.4674,No
111,radio triangulation,OpenIntent,Implicit,In house,On Demand (Google),Nexus I (HTC),3G on Nexus I,MySQL,Client-Server,Unformatted data,13.94554134,1,No
