Optimisation Analysis, 
Objective ,MaxExpectedUtility
Objective ,MinCost
SolutionSpace ,1024
Minimal SolutionSet ,1024
Shortlisted ,34
Nbr. Variables ,75
Nbr. Parameters ,11
Nbr. Decisions ,10
Runtime(s) ,3

ID,Order Reassignment,Forced Order Completion,Order Persistence Strategy,Order Segmentation,Hung Order Recovery,Failed Order Notification,Order Tracking,Available User Information,Order Chunking,Order Bundling,ExpectedUtility,Cost,Optimal
34,Current: not possible to reassign order,Allow Forced Order Completion,Current: store when processed,Orders are segmented,Current: no order retry,Current: no notification,Current: order level,Current: no link to user info,Order Chunking,No Order Bundling,-74.182370853746,400.04778561451644,Yes
35,Allow Order Reassignment,Allow Forced Order Completion,Store as soon as received,Current: no order segmentation,Allow Order Retry,User notified of failed order,Current: order level,Link to user information,Current: no oder chunking,No Order Bundling,-67.49903752041271,4489.746899221625,No
36,Allow Order Reassignment,Current: not possible to force order completion,Store as soon as received,Current: no order segmentation,Allow Order Retry,Current: no notification,Current: order level,Link to user information,Order Chunking,Order Bundling,-79.11172520810057,3989.4445731392802,No
37,Allow Order Reassignment,Allow Forced Order Completion,Store as soon as received,Current: no order segmentation,Current: no order retry,Current: no notification,Granule-level order tracking,Current: no link to user info,Current: no oder chunking,No Order Bundling,-71.33237085374574,4965.984280984684,No
38,Allow Order Reassignment,Allow Forced Order Completion,Current: store when processed,Orders are segmented,Current: no order retry,Current: no notification,Granule-level order tracking,Link to user information,Current: no oder chunking,Order Bundling,-81.83172520810005,2194.451274223453,No
39,Allow Order Reassignment,Allow Forced Order Completion,Current: store when processed,Current: no order segmentation,Allow Order Retry,User notified of failed order,Current: order level,Link to user information,Current: no oder chunking,Order Bundling,-84.07394743032297,1309.1657159456443,No
40,Allow Order Reassignment,Allow Forced Order Completion,Store as soon as received,Orders are segmented,Allow Order Retry,User notified of failed order,Current: order level,Current: no link to user info,Order Chunking,Order Bundling,-73.04505854143383,4480.500065028964,No
41,Allow Order Reassignment,Allow Forced Order Completion,Current: store when processed,Current: no order segmentation,Current: no order retry,Current: no notification,Granule-level order tracking,Current: no link to user info,Current: no oder chunking,Order Bundling,-87.88728076365597,1785.4030977087061,No
42,Allow Order Reassignment,Current: not possible to force order completion,Current: store when processed,Current: no order segmentation,Current: no order retry,User notified of failed order,Granule-level order tracking,Link to user information,Current: no oder chunking,No Order Bundling,-77.91503752041274,2094.5587002377933,No
43,Current: not possible to reassign order,Current: not possible to force order completion,Store as soon as received,Current: no order segmentation,Allow Order Retry,Current: no notification,Current: order level,Link to user information,Current: no oder chunking,Order Bundling,-83.6117252081005,3589.6736986144238,No
44,Allow Order Reassignment,Current: not possible to force order completion,Current: store when processed,Current: no order segmentation,Current: no order retry,Current: no notification,Granule-level order tracking,Current: no link to user info,Order Chunking,No Order Bundling,-76.65237085374618,1585.2559832552233,No
45,Allow Order Reassignment,Allow Forced Order Completion,Store as soon as received,Orders are segmented,Current: no order retry,Current: no notification,Granule-level order tracking,Link to user information,Current: no oder chunking,No Order Bundling,-65.27681529819056,5375.032457499429,No
46,Allow Order Reassignment,Current: not possible to force order completion,Current: store when processed,Current: no order segmentation,Allow Order Retry,User notified of failed order,Current: order level,Link to user information,Order Chunking,No Order Bundling,-72.83903752041279,1109.0186014921703,No
47,Current: not possible to reassign order,Current: not possible to force order completion,Current: store when processed,Orders are segmented,Current: no order retry,Current: no notification,Current: order level,Link to user information,Order Chunking,No Order Bundling,-75.62681529819064,409.04817651474775,No
48,Current: not possible to reassign order,Allow Forced Order Completion,Current: store when processed,Orders are segmented,Allow Order Retry,Current: no notification,Current: order level,Link to user information,Current: no oder chunking,Order Bundling,-84.06172520810044,809.140300952961,No
49,Current: not possible to reassign order,Current: not possible to force order completion,Current: store when processed,Orders are segmented,Current: no order retry,User notified of failed order,Granule-level order tracking,Current: no link to user info,Current: no oder chunking,Order Bundling,-85.46105854143333,1685.5409915202479,No
50,Current: not possible to reassign order,Current: not possible to force order completion,Current: store when processed,Current: no order segmentation,Allow Order Retry,User notified of failed order,Current: order level,Link to user information,Current: no oder chunking,No Order Bundling,-77.33903752041287,709.2477269672994,No
51,Allow Order Reassignment,Current: not possible to force order completion,Current: store when processed,Orders are segmented,Current: no order retry,Current: no notification,Granule-level order tracking,Link to user information,Order Chunking,No Order Bundling,-70.59681529819017,1994.3041597699698,No
52,Allow Order Reassignment,Current: not possible to force order completion,Store as soon as received,Current: no order segmentation,Current: no order retry,Current: no notification,Granule-level order tracking,Link to user information,Current: no oder chunking,Order Bundling,-82.6117252081005,4974.984671884911,No
53,Allow Order Reassignment,Allow Forced Order Completion,Store as soon as received,Current: no order segmentation,Allow Order Retry,Current: no notification,Current: order level,Current: no link to user info,Order Chunking,No Order Bundling,-68.33237085374567,3980.4441822390704,No
54,Allow Order Reassignment,Allow Forced Order Completion,Store as soon as received,Orders are segmented,Current: no order retry,User notified of failed order,Granule-level order tracking,Current: no link to user info,Current: no oder chunking,Order Bundling,-75.64505854143385,5466.040163774567,No
55,Allow Order Reassignment,Allow Forced Order Completion,Current: store when processed,Current: no order segmentation,Allow Order Retry,Current: no notification,Current: order level,Current: no link to user info,Order Chunking,Order Bundling,-84.91728076365592,799.8629989630818,No
56,Current: not possible to reassign order,Current: not possible to force order completion,Current: store when processed,Current: no order segmentation,Allow Order Retry,Current: no notification,Current: order level,Current: no link to user info,Order Chunking,No Order Bundling,-78.18237085374588,199.94500998473464,No
57,Current: not possible to reassign order,Allow Forced Order Completion,Store as soon as received,Orders are segmented,Allow Order Retry,Current: no notification,Current: order level,Link to user information,Current: no oder chunking,No Order Bundling,-67.47681529819049,3989.721484228941,No
58,Current: not possible to reassign order,Current: not possible to force order completion,Store as soon as received,Orders are segmented,Current: no order retry,User notified of failed order,Granule-level order tracking,Current: no link to user info,Current: no oder chunking,No Order Bundling,-68.91014863152377,4866.122174796234,No
59,Current: not possible to reassign order,Allow Forced Order Completion,Store as soon as received,Current: no order segmentation,Current: no order retry,Current: no notification,Current: order level,Current: no link to user info,Current: no oder chunking,No Order Bundling,-75.63237085374602,3380.728297729456,No
60,Current: not possible to reassign order,Current: not possible to force order completion,Current: store when processed,Current: no order segmentation,Current: no order retry,User notified of failed order,Current: order level,Link to user information,Current: no oder chunking,No Order Bundling,-81.33903752041287,509.30271698256666,No
61,Current: not possible to reassign order,Current: not possible to force order completion,Current: store when processed,Orders are segmented,Allow Order Retry,Current: no notification,Current: order level,Link to user information,Order Chunking,No Order Bundling,-74.02681529819044,608.9931864994787,No
62,Allow Order Reassignment,Allow Forced Order Completion,Store as soon as received,Orders are segmented,Current: no order retry,Current: no notification,Current: order level,Link to user information,Order Chunking,No Order Bundling,-65.77681529819057,4189.547348769067,No
63,Allow Order Reassignment,Allow Forced Order Completion,Store as soon as received,Orders are segmented,Current: no order retry,User notified of failed order,Current: order level,Current: no link to user info,Order Chunking,Order Bundling,-74.64505854143378,4280.5550550442285,No
64,Current: not possible to reassign order,Current: not possible to force order completion,Store as soon as received,Current: no order segmentation,Current: no order retry,Current: no notification,Current: order level,Link to user information,Current: no oder chunking,Order Bundling,-87.61172520810034,3389.7286886296997,No
65,Current: not possible to reassign order,Current: not possible to force order completion,Current: store when processed,Orders are segmented,Current: no order retry,Current: no notification,Granule-level order tracking,Link to user information,Current: no oder chunking,No Order Bundling,-75.09681529819026,1594.5332852450958,No
