Optimisation Analysis 
============================ 

Objective: 		MaxENB
Objective: 		MinRisk
SolutionSpace: 			6912
Evaluated: 			6912
Shortlisted: 			15
Runtime(s): 			47

ID 	Location Finding	File Sharing	Report Syncing	Chat Protocol	Map Access	Hardware Platform	Connectivity	Database	Architectural Pattern	Data Exchange Format	ENB	Risk	Optimal
50	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Nexus I	sqLite	Push-based	Compressed XML	12.475098342720264	1.0	No
51	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Nexus I	sqLite	Push-based	Unformatted data	12.317338075007816	1.0	No
52	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	MySQL	Peer-to-peer	XML	12.48809044305135	1.0	No
53	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	MySQL	Peer-to-peer	Compressed XML	12.571905870074792	1.0	No
54	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	MySQL	Peer-to-peer	Unformatted data	12.414145602362293	1.0	No
55	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	MySQL	Client-Server	XML	13.15370468230616	1.0	No
56	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	MySQL	Client-Server	Compressed XML	13.237520109329495	1.0	No
57	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	MySQL	Client-Server	Unformatted data	13.07975984161715	1.0	No
58	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	MySQL	Push-based	XML	12.697477416748688	1.0	No
59	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	MySQL	Push-based	Compressed XML	12.781292843772004	1.0	No
60	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	MySQL	Push-based	Unformatted data	12.623532576059619	1.0	No
61	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	sqLite	Peer-to-peer	XML	12.353114114132133	1.0	No
62	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	sqLite	Peer-to-peer	Compressed XML	12.43692954115555	1.0	No
63	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	sqLite	Peer-to-peer	Unformatted data	12.279169273443019	1.0	No
64	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	sqLite	Client-Server	XML	13.01872835338693	1.0	No
65	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	sqLite	Client-Server	Compressed XML	13.10254378041029	1.0	No
66	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	sqLite	Client-Server	Unformatted data	12.944783512697832	1.0	No
67	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	sqLite	Push-based	XML	12.562501087829368	1.0	No
68	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	sqLite	Push-based	Compressed XML	12.646316514852817	1.0	No
69	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	sqLite	Push-based	Unformatted data	12.488556247140403	1.0	No
70	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	Bluetooth	MySQL	Peer-to-peer	XML	12.406095487069587	1.0	No
71	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	Bluetooth	MySQL	Peer-to-peer	Compressed XML	12.489910914092873	1.0	No
72	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	Bluetooth	MySQL	Peer-to-peer	Unformatted data	12.332150646380427	1.0	No
73	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	Bluetooth	MySQL	Client-Server	XML	13.071709726324348	1.0	No
74	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	Bluetooth	MySQL	Client-Server	Compressed XML	13.15552515334766	1.0	No
75	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	Bluetooth	MySQL	Client-Server	Unformatted data	12.997764885635277	1.0	No
